module_id,mean_water_capture_kg,mean_water_loss_kg
CF1,2.583,1.304
CD1,2.199,1.256
CC1,2.102,1.305
CE1,2.455,1.342
CA1,2.271,1.292
CB1,1.941,1.205
CF2,2.454,1.306
CD2,2.204,1.269
CC2,2.462,1.188
CE2,2.412,1.462
CA2,2.22,1.25
CB2,1.982,1.274
CZ1,2.379,1.231
IF1,2.087,1.386
ID1,2.374,1.485
IC1,2.141,1.47
IE1,2.451,1.635
IA1,2.407,1.411
IB1,2.455,1.463
IF2,2.078,1.174
ID2,2.098,1.43
IC2,2.439,1.357
IE2,2.351,1.529
IA2,2.214,1.301
IB2,2.274,1.426
IZ1,2.557,1.662
HF1,2.619,1.579
HD1,2.375,1.544
HC1,2.514,1.733
HE1,2.375,1.653
HA1,2.308,1.584
HB1,2.36,1.513
HF2,2.503,1.554
HD2,2.579,1.672
HC2,2.261,1.973
HE2,2.464,1.555
HA2,2.396,1.581
HB2,2.147,1.423
HZ1,2.652,1.78
KF1,2.266,1.281
KD1,2.373,1.464
KC1,2.515,1.254
KE1,2.589,1.681
KA1,2.481,1.4
KB1,2.387,1.354
KF2,2.382,1.199
KD2,2.358,1.207
KC2,2.346,1.226
KE2,2.529,1.573
KA2,1.862,0.948
KB2,2.51,1.677
KZ1,2.265,1.251
GF1,2.187,0.919
GD1,2.258,1.595
GC1,2.364,0.93
GE1,2.324,1.466
GA1,2.209,1.438
GB1,2.176,1.168
GF2,2.232,1.372
GD2,2.195,1.089
GC2,2.135,1.456
GE2,2.174,1.085
GA2,2.072,0.94
GB2,2.223,1.486
GZ1,2.311,1.121
EF1,2.524,1.254
ED1,2.487,1.635
EC1,2.39,1.845
EE1,2.323,1.371
EA1,2.383,1.635
EB1,2.215,1.441
EF2,2.518,1.583
ED2,2.133,1.271
EC2,2.51,1.412
EE2,2.636,1.834
EA2,2.435,1.445
EB2,2.294,1.467
EZ1,2.561,1.774
ZF1,2.327,1.48
ZD1,2.387,1.555
ZC1,2.584,1.704
ZE1,2.407,1.582
ZA1,2.441,1.303
ZB1,2.385,1.513
ZF2,2.431,1.507
ZD2,2.539,1.631
ZC2,2.293,1.592
ZE2,2.493,1.595
ZA2,2.356,1.498
ZB2,2.307,1.468
ZZ1,2.58,1.669
AF1,2.582,1.039
AD1,2.396,1.415
AC1,2.526,1.218
AE1,2.502,1.372
AA1,2.673,1.539
AB1,2.661,1.268
AF2,2.789,1.517
AD2,2.447,1.47
AC2,2.6,1.63
AE2,2.51,1.296
AA2,2.491,1.265
AB2,2.519,1.182
AZ1,2.695,1.393
LF1,2.207,1.175
LD1,2.233,1.253
LC1,2.218,1.154
LE1,2.431,1.313
LA1,2.333,1.264
LB1,2.5,1.365
LD2,2.229,1.446
LC2,2.17,1.65
LE2,2.316,1.196
LA2,2.167,1.615
LB2,2.395,1.351
LZ1,2.028,1.054
DF1,2.096,1.275
DD1,2.411,1.504
DC1,2.257,1.387
DE1,2.205,1.294
DA1,2.012,1.24
DB1,2.239,1.402
DF2,2.362,1.331
DD2,2.281,1.417
DC2,2.493,1.455
DE2,2.396,1.532
DA2,2.361,1.397
DB2,2.016,1.256
DZ1,2.492,1.623
BF1,2.318,1.528
BD1,2.266,1.636
BC1,2.346,1.845
BE1,2.247,1.64
BA1,2.463,1.711
BB1,2.24,1.597
BF2,2.122,1.454
BD2,2.212,1.672
BC2,2.414,1.747
BE2,2.333,1.649
BA2,2.264,1.684
BB2,2.044,1.52
BZ1,2.354,1.611
FF1,2.307,1.518
FD1,2.32,1.76
FC1,2.613,1.873
FE1,2.174,1.733
FA1,2.273,1.552
FB1,2.288,1.468
FF2,2.39,1.597
FD2,2.377,1.685
FC2,2.432,1.719
FE2,2.381,1.832
FA2,2.395,1.726
FB2,2.217,1.502
FZ1,2.499,1.876
